,20ng,,,AGNews,,,DBPedia,,,R8,,
,CV,TD,PN,CV,TD,PN,CV,TD,PN,CV,TD,PN
NVDM,0.317,0.918,0.175,0.296,0.814,0.248,0.323,0.848,0.227,0.284,0.839,0.400
w. keep,0.351,0.973,0.162,0.303,0.964,0.255,0.321,0.961,0.284,0.285,0.926,0.402
,↑10.920%,↑5.923%,↓7.431%,↑2.270%,↑18.369%,↑3.153%,↓0.606%,↑13.302%,↑24.669%,↑0.350%,↑10.296%,↑0.476%
w. auto,0.354,0.966,0.180,0.333,0.985,0.306,0.312,0.954,0.253,0.305,0.897,0.400
,↑11.846%,↑5.236%,↑2.502%,↑12.415%,↑20.980%,↑23.541%,↓3.559%,↑12.549%,↑11.134%,↑7.369%,↑6.888%,↑0.037%
PLDA,0.447,0.863,0.427,0.506,0.915,0.196,0.502,0.889,0.315,0.332,0.750,0.609
w. keep,0.356,0.865,0.444,0.508,0.945,0.514,0.499,0.952,0.708,0.335,0.773,0.654
,↓20.404%,↑0.185%,↑3.836%,↑0.398%,↑3.234%,↑162.716%,↓0.517%,↑7.111%,↑125.055%,↑0.800%,↑2.985%,↑7.345%
w. auto,0.424,0.853,0.409,0.443,0.960,0.512,0.440,0.931,0.717,0.332,0.751,0.646
,↓5.181%,↓1.143%,↓4.142%,↓12.505%,↑4.895%,↑161.940%,↓12.423%,↑4.695%,↑127.694%,↓0.063%,↑0.145%,↑6.139%
ETM,0.479,0.443,0.362,0.508,0.530,0.583,0.477,0.490,0.773,0.529,0.271,0.677
w. keep,0.478,0.715,0.428,0.492,0.858,0.531,0.500,0.846,0.744,0.422,0.578,0.681
,↓0.237%,↑61.372%,↑17.966%,↓3.172%,↑62.085%,↓8.990%,↑4.668%,↑72.431%,↓3.777%,↓20.178%,↑113.274%,↑0.693%
w. auto,0.489,0.821,0.373,0.515,0.870,0.554,0.526,0.867,0.756,0.406,0.698,0.681
,↑2.138%,↑85.340%,↑2.934%,↑1.318%,↑64.205%,↓5.035%,↑10.110%,↑76.882%,↓2.180%,↓23.264%,↑157.213%,↑0.674%
NSTM,0.456,0.237,0.334,0.631,0.532,0.565,0.635,0.513,0.718,0.494,0.220,0.643
w. keep,0.475,0.312,0.340,0.651,0.694,0.580,0.653,0.652,0.780,0.452,0.282,0.683
,↑3.978%,↑31.757%,↑1.603%,↑3.147%,↑30.376%,↑2.550%,↑2.934%,↑27.145%,↑8.686%,↓8.378%,↑28.000%,↑6.231%
w. auto,0.500,0.448,0.334,0.643,0.659,0.573,0.657,0.607,0.792,0.458,0.278,0.686
,↑9.527%,↑89.189%,↓0.143%,↑1.933%,↑23.904%,↑1.430%,↑3.565%,↑18.361%,↑10.318%,↓7.249%,↑26.182%,↑6.836%
ECRTM,0.458,0.364,0.402,0.452,0.989,0.483,0.462,0.978,0.671,0.348,0.815,0.633
w. keep,0.455,0.806,0.496,0.407,1.000,0.506,0.480,0.998,0.755,0.355,0.862,0.655
,↓0.581%,↑121.538%,↑23.445%,↓9.859%,↑1.133%,↑4.926%,↑3.811%,↑1.962%,↑12.437%,↑2.127%,↑5.790%,↑3.525%
w. auto,0.471,0.895,0.477,0.382,1.000,0.501,0.455,1.000,0.629,0.356,0.878,0.636
,↑2.829%,↑145.754%,↑18.747%,↓15.374%,↑1.133%,↑3.797%,↓1.605%,↑2.208%,↓6.266%,↑2.461%,↑7.721%,↑0.595%
