,20ng,,,AGNews,,,DBPedia,,,R8,,
,CV,TD,PN,CV,TD,PN,CV,TD,PN,CV,TD,PN
NVDM,0.343,0.962,0.155,0.289,0.946,0.254,0.286,0.955,0.264,0.272,0.921,0.408
w. keep,0.339,0.896,0.158,0.294,0.964,0.255,0.304,0.951,0.269,0.270,0.920,0.406
,↓1.200%,↓6.822%,↑1.674%,↑1.957%,↑1.946%,↑0.202%,↑6.473%,↓0.419%,↑1.964%,↓0.742%,↓0.087%,↓0.428%
w. auto,0.356,0.852,0.162,0.289,0.973,0.255,0.298,0.958,0.270,0.266,0.904,0.374
,↑3.661%,↓11.398%,↑4.353%,↓0.005%,↑2.876%,↑0.121%,↑4.356%,↑0.335%,↑2.570%,↓2.218%,↓1.771%,↓8.368%
PLDA,0.432,0.890,0.451,0.499,0.910,0.511,0.507,0.914,0.701,0.338,0.747,0.662
w. keep,0.410,0.886,0.454,0.541,0.922,0.523,0.520,0.927,0.711,0.339,0.806,0.664
,↓5.169%,↓0.450%,↑0.663%,↑8.443%,↑1.230%,↑2.204%,↑2.671%,↑1.489%,↑1.472%,↑0.410%,↑7.923%,↑0.346%
w. auto,0.425,0.863,0.430,0.513,0.907,0.511,0.440,0.902,0.719,0.340,0.757,0.653
,↓1.551%,↓3.046%,↓4.600%,↑2.958%,↓0.351%,↓0.041%,↓13.206%,↓1.280%,↑2.588%,↑0.689%,↑1.378%,↓1.376%
ETM,0.480,0.702,0.405,0.462,0.783,0.558,0.486,0.797,0.753,0.391,0.610,0.679
w. keep,0.487,0.749,0.400,0.465,0.862,0.546,0.519,0.855,0.760,0.396,0.669,0.668
,↑1.581%,↑6.727%,↓1.252%,↑0.675%,↑10.010%,↓2.169%,↑6.818%,↑7.329%,↑0.942%,↑1.130%,↑9.711%,↓1.663%
w. auto,0.487,0.764,0.384,0.461,0.851,0.547,0.490,0.853,0.753,0.399,0.674,0.688
,↑1.489%,↑8.842%,↓5.285%,↓0.143%,↑8.712%,↓1.869%,↑0.703%,↑7.028%,↑0.027%,↑1.942%,↑10.592%,↑1.382%
NSTM,0.437,0.286,0.373,0.638,0.619,0.574,0.628,0.630,0.775,0.466,0.234,0.683
w. keep,0.476,0.411,0.360,0.666,0.722,0.576,0.656,0.689,0.790,0.470,0.254,0.685
,↑8.891%,↑43.575%,↓3.444%,↑4.269%,↑16.537%,↑0.406%,↑4.449%,↑9.264%,↑1.901%,↑0.909%,↑8.562%,↑0.320%
w. auto,0.445,0.407,0.352,0.635,0.647,0.575,0.648,0.618,0.779,0.438,0.300,0.694
,↑1.872%,↑41.945%,↓5.720%,↓0.587%,↑4.546%,↑0.210%,↑3.296%,↓2.046%,↑0.430%,↓6.059%,↑28.425%,↑1.603%
ECRTM,0.463,0.747,0.503,0.389,1.000,0.457,0.479,1.000,0.782,0.356,0.871,0.663
w. keep,0.421,0.710,0.487,0.399,1.000,0.456,0.468,0.999,0.771,0.352,0.866,0.651
,↓9.051%,↓4.925%,↓3.211%,↑2.541%,↑0.000%,↓0.191%,↓2.318%,↓0.080%,↓1.414%,↓1.057%,↓0.643%,↓1.722%
w. auto,0.432,0.876,0.476,0.368,1.000,0.476,0.477,1.000,0.777,0.350,0.934,0.646
,↓6.752%,↑17.210%,↓5.403%,↓5.326%,↑0.000%,↑4.212%,↓0.498%,↑0.000%,↓0.661%,↓1.635%,↑7.164%,↓2.487%
