dataset,model,mode,CLNPMI,PC_TD,Sibling_TD,PnonC_TD
20News,ecrtm,keep,0.022021732320310534,0.3971171761983271,0.9622710622710623,0.9158998895841002
20News,ecrtm,auto,0.27344507530857604,0.9553341923547098,0.9548872180451128,0.0
20News,etm,keep,0.0,0.4026077232172713,1.053822544642857,0.9365691489361703
20News,etm,auto,0.07103838161732913,0.3489526041368169,0.898788966135905,0.9175912348768838
20News,nstm,keep,0.0,0.28903945013388255,1.0551282051282052,0.9230769230769231
20News,nstm,auto,0.017349945413050082,0.28694328807750463,0.8766387419165197,0.8811263594526668
20News,nvdm,keep,0.049223556559479825,0.3025555596670673,1.010971055088702,0.9411764705882353
20News,nvdm,auto,0.0,0.060866282383221525,0.9816298877274487,0.9748855702015656
20News,plda,keep,0.013092285625277433,0.3405660499920477,0.9600921137685843,0.9411764705882353
20News,plda,auto,0.06528903618764344,0.48814985049408116,0.9428856328856328,0.9111961331680827
AGNews,ecrtm,keep,0.0,0.7773930982664342,1.05,0.8333333333333334
AGNews,ecrtm,auto,0.08869170208039451,0.4612960624510888,1.1092912390639662,0.9
AGNews,etm,keep,0.0,0.33888998286113403,1.0466820987654322,0.9444444444444444
AGNews,etm,auto,0.020666965651750864,0.34750211412432264,0.8788515406162465,0.9246680687628579
AGNews,nstm,keep,0.00950286139825677,0.26533164918389013,0.918937389770723,0.9444444444444444
AGNews,nstm,auto,0.024175779880565195,0.24454513961375568,0.8122855616605617,0.9253486304508394
AGNews,nvdm,keep,0.030680954070368593,0.7789943984305687,1.0092592592592593,0.8
AGNews,nvdm,auto,0.20956842794514285,0.9679887005649718,0.932,0.0
AGNews,plda,keep,0.0,0.39959601248392607,0.9695360195360195,0.9230769230769231
AGNews,plda,auto,0.05270992832573068,0.41621020231668127,0.6973148148148148,0.8982058802740035
DBpedia,ecrtm,keep,0.0,0.18122323969356846,0.9962962962962962,0.9629629629629629
DBpedia,ecrtm,auto,0.23985739943727077,0.9695254237288136,1.0385714285714285,0.0
DBpedia,etm,keep,0.04284837224976173,0.636896608006066,1.2142406204906204,0.75
DBpedia,etm,auto,0.09469234952295587,0.8333464860355567,1.0563492063492064,0.6600234647271468
DBpedia,nstm,keep,0.0,0.39930706494692314,1.1980902777777778,0.9365026595744681
DBpedia,nstm,auto,0.10996241660079542,0.923458097928437,0.5069444444444444,0.0
DBpedia,nvdm,keep,0.0,0.8411241463102843,1.22140522875817,0.75
DBpedia,nvdm,auto,0.18400288233528161,0.8461953237593596,1.017031171442936,0.7493889798145118
DBpedia,plda,keep,0.011318703618701359,0.2583556750274914,0.985854659324047,0.9523809523809523
DBpedia,plda,auto,0.012772792701162324,0.21886237837602288,0.9875121477162293,0.9499779235808422
R8,ecrtm,keep,0.01712703985759033,0.4477500925274245,1.0990995115995117,0.9166666666666666
R8,ecrtm,auto,0.08363696077920174,0.4645725930600753,0.8032867132867132,0.9064138954460096
R8,etm,keep,0.0,0.2763962685876744,0.9759027777777778,0.9490740740740741
R8,etm,auto,0.03174403318934636,0.3007488504109466,0.8412885154061625,0.9104103504430182
R8,nstm,keep,0.0,0.4035643204299751,0.8453823953823953,0.8278982964428948
R8,nstm,auto,0.05609242482610817,0.27893823131324014,0.5461666666666666,0.7311397431351997
R8,nvdm,keep,0.028382383291031522,0.39593751021341966,1.0,0.8571428571428571
R8,nvdm,auto,0.006341526845112921,0.13010310676977344,1.0054526748971193,0.9655487988226905
R8,plda,keep,0.009550376187350156,0.35314358775478527,0.9811771561771562,0.9230769230769231
R8,plda,auto,0.12465723296852571,0.9560145951035781,0.6934523809523809,0.0
